Feb	01	01	37842
Feb	01	03	37142
Feb	01	05	27226
Feb	01	07	21869
Feb	01	09	22727
Feb	01	10	24690
Feb	01	12	34494
Feb	01	14	41596
Feb	01	16	40052
Feb	01	18	35367
Feb	01	21	36383
Feb	01	23	39445
Feb	02	00	39394
Feb	02	02	38297
Feb	02	04	32845
Feb	02	06	24254
Feb	02	08	22103
Feb	02	11	29029
Feb	02	13	39123
Feb	02	15	39840
Feb	02	17	38690
Feb	02	19	35532
Feb	02	20	34908
Feb	02	22	38369
Feb	03	01	44997
Feb	03	03	39546
Feb	03	05	30574
Feb	03	07	23182
Feb	03	09	23554
Feb	03	10	26004
Feb	03	12	34321
Feb	03	14	43298
Feb	03	16	41725
Feb	03	18	35220
Feb	03	21	35765
Feb	03	23	39351
Feb	04	00	38153
Feb	04	02	37288
Feb	04	04	32312
Feb	04	06	25351
Feb	04	08	22790
Feb	04	11	30092
Feb	04	13	40057
Feb	04	15	45642
Feb	04	17	40052
Feb	04	19	34065
Feb	04	20	33207
Feb	04	22	35136
Feb	05	01	37329
Feb	05	03	36343
Feb	05	05	29401
Feb	05	07	22736
Feb	05	09	22439
Feb	05	10	23462
Feb	05	12	30508
Feb	05	14	39602
Feb	05	16	41374
Feb	05	18	34259
Feb	05	21	30544
Feb	05	23	34707
Feb	06	00	34470
Feb	06	02	36588
Feb	06	04	35275
Feb	06	06	27791
Feb	06	08	23970
Feb	06	11	28261
Feb	06	13	37320
Feb	06	15	42277
Feb	06	17	37170
Feb	06	19	33806
Feb	06	20	34490
Feb	06	22	36818
Feb	07	01	52000
Feb	07	03	43765
Feb	07	05	26257
Feb	07	07	21873
Feb	07	09	22963
Feb	07	10	24989
Feb	07	12	34859
Feb	07	14	41769
Feb	07	16	39691
Feb	07	18	33651
Feb	07	21	35754
Feb	07	23	39238
Feb	08	00	38371
Feb	08	02	36480
Feb	08	04	31321
Feb	08	06	23773
Feb	08	08	22558
Feb	08	11	29194
Feb	08	13	39246
Feb	08	15	44693
Feb	08	17	37393
Feb	08	19	33434
Feb	08	20	33454
Feb	08	22	37530
Jan	23	01	33516
Jan	23	03	34371
Jan	23	05	29480
Jan	23	07	23402
Jan	23	09	22395
Jan	23	10	22992
Jan	23	12	29042
Jan	23	14	36473
Jan	23	16	34103
Jan	23	18	30632
Jan	23	21	32464
Jan	23	23	37342
Jan	24	00	34938
Jan	24	02	38219
Jan	24	04	31255
Jan	24	06	23356
Jan	24	08	20985
Jan	24	11	27479
Jan	24	13	37295
Jan	24	15	40589
Jan	24	17	34727
Jan	24	19	31849
Jan	24	20	32166
Jan	24	22	35834
Jan	25	01	36894
Jan	25	03	35564
Jan	25	05	27003
Jan	25	07	21427
Jan	25	09	22276
Jan	25	10	23821
Jan	25	12	33225
Jan	25	14	45088
Jan	25	16	45092
Jan	25	18	33518
Jan	25	21	34622
Jan	25	23	36693
Jan	26	00	36829
Jan	26	02	41792
Jan	26	04	32562
